question,label
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,0
What are the world 's four oceans ?,0
What 's the only work by Michelangelo that bears his signature ?,0
What is the largest snake in the world ?,0
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,0
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,0
How much money does a back injury lawsuit get ?,0
What 's the common name for acetylsalicylic acid ?,0
What does the Georgetown `` Hoya '' mean ?,0
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,0
Which two products use a tiger as their symbol ?,0
How is the election of a new Pope announced to the world ?,0
How long does it take for your blood to make one complete trip through the body ?,0
How do chickens have baby chicks ?,0
What is the historical relationship of Catholic Church and bingo ?,0
How was the element calcium named ?,0
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,0
What piano company claims its product is the `` Instrument of the immortals '' ?,0
When did the Bounty mutiny take place ?,0
What novel inspired the movie BladeRunner ?,0
What is a transistor ?,0
What is a film starring Jude Law ?,0
What Hollywood dog died in the arms of Jean Harlow in 1932 ?,0
What are the most common elements in the Earth 's crust ?,0
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",0
What actress has received the most Oscar nominations ?,0
What are equity securities ?,0
What is gymnophobia ?,0
How many years do fossils take to form ?,0
Where is the Orinoco ?,0
What was the name of the `` Little Rascals '' dog ?,0
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",0
What Broadway musical was inspired by Cervantes 's Don Quixote ?,0
"What is the origin of the word , JJ .",0
How many hostages were killed in the Entebbe raid ?,0
How you can raise your IQ ?,0
What does INRI stand for when used on Jesus ' cross ?,0
Who produces Spumante ?,0
Who earns their money the hard way ?,0
Who founded the People 's Temple Commune ?,0
What athlete makes the most money from sports merchandise sales ?,0
How many bends are there in a standard paper clip ?,0
Who discovered electricity ?,0
What part of your body contains the corpus callosum ?,0
Who was the first American in space ?,0
What two South American countries do n't border Brazil ?,0
What album put The Beatles on the cover of Time in 1967 ?,0
"What poem contains the line , `` grow old with me the best is yet to be '' .",0
What is a dental root canal ?,0
What war did the Wanna-Go-Home Riots occur after ?,0
What is the busiest air travel season ?,0
What 's the colored part of the eye called ?,0
What are hook worms ?,0
Where is the Rose Bowl played ?,0
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,0
Who is the mayor of Marbella ?,0
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",0
In what year did Thatcher become prime minister ?,0
How many months does it take the moon to revolve around the Earth ?,0
Where are the 49 steps ?,0
In what year was De Gaulle elected president of France ?,0
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,0
Who directed `` Jaws '' ?,0
On what T.V. show could Tom Terrific be found ?,0
What Indian tribe is F Troop perpetually doing battle with ?,0
Where did Indian Pudding come from ?,0
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,0
How many colonies were involved in the American Revolution ?,0
What is the name of the city that Maurizio Pellegrin lives in ?,0
Where can I find pictorial directions on how to build a very simple treehouse ?,0
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",0
What is the name of the managing director of Apricot Computer ?,0
What is the occupation of Nicholas Cage ?,0
Why do horseshoes bring luck ?,0
"What is the 401 , K , plan ?",0
What causes pneumonia ?,0
What are the three winter months in the southern hemisphere ?,0
What does gringo mean ?,0
What country contains Africa 's northernmost point ?,0
What therapy attempts to elicit the `` primal scream '' ?,0
Where is the Kalahari desert ?,0
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,0
What city is sometimes called Gotham ?,0
What dangles over the tongue from the palate ?,0
Who created Dennis the Menace ?,0
What dummy received an honorary degree from Northwestern University ?,0
When was the first Wall Street Journal published ?,0
What countries have the largest areas of forest ?,0
How do I start a web based business ?,0
Name Alvin 's brothers,0
What is Eagle 's syndrome styloid process ?,0
How did Jayne Mansfield die ?,0
When did the royal wedding of Prince Andrew and Fergie take place ?,0
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,0
What explorer was nicknamed Iberia 's Pilot ?,0
CNN began broadcasting in what year ?,0
What is a ball that hits the foul pole called ?,0
What makes hamburgers taste like steakburgers ?,0
Which company created the Internet browser Mosaic ?,0
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,0
What was the education system in the 1960 's ?,0
What South American city has the world 's highest commercial landing field ?,0
How can I find out which cities have cable-modem access ?,0
What is Betsy Ross famous for ?,0
How many species of sharks are there ?,0
What is `` snoogans '' ?,0
How many people are there in the world ?,0
What shrubs can be planted that will be safe from deer ?,0
What organization 's offices were broken into at Watergate in 1972 ?,0
What is the design of the ship Titanic ?,0
What does S.O.S. stand for ?,0
Name a technique widely used to detect birth defects ?,0
What is the daily requirement of folic acid for an expectant mother ?,0
What is the `` 7-minute cigarette '' ?,0
What four forms does gold occur in ?,0
What is the acreage of the Chappellet vineyard ?,0
How do you correctly say the word ` qigong ' ?,0
When did beethoven die ?,0
How much does a new railroad coal car cost ?,0
What two European countries entered the War of American Independence against the British ?,0
What is the filmmakers collabrative ?,0
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,0
What caused Harry Houdini 's death ?,0
"Who was the mother of the man who would not be king , the duke of Windsor ?",0
How many revolutions does a standard LP make in three minutes ?,0
What is the name of the tallest mountain in the world ?,0
Where can I find a review of Nightmare on Elm Street in a film journal ?,0
What 's the slowest Olympic swimming stroke ?,0
What was the name of the first Russian astronaut to do a spacewalk ?,0
What disease is transmitted by the Anopheles mosquito ?,0
What rum is so `` mixable '' it is a one-brand bar ?,0
How many South American countries have the letter Z in their names ?,0
What is the contents of proposition 98 ?,0
Where was George Washington born ?,0
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",0
Who wrote NN DT NNP NNP '' ?,0
What is paracetamol ?,0
What are the powers and weaknesses of Green Lantern 's ring ?,0
"Which mosquito 's bite draws blood , DT NN CC DT NN .",0
When was the first steel mill in the United States built ?,0
What diminutive American female gymnast stole the show at the 1984 Olympics ?,0
What is the origin of the name Katie ?,0
"What schools in the Washington , DC NN NN VBP NN NN NN NN .",0
When did the Berlin Wall go up ?,0
Who is Terrence Malick ?,0
What instrument is Ray Charles best known for playing ?,0
"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",0
What is the mascot for Notre Dame University ?,0
"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",0
When did Mount St. Helen last have a significant eruption ?,0
CNN is the abbreviation for what ?,0
When did World War I start ?,0
How many feet are there in a fathom ?,0
What is a Canada two-penny black ?,0
What European city do Nicois live in ?,0
How can I find out what year a Beanie Baby was introduced ?,0
What is the classic definition of tragic hero ?,0
To what does Microsoft 's Windows 3 owe its success ?,0
Who was President of Afghanistan in 1994 ?,0
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",0
What did brontosauruses eat ?,0
What color bottles do good Rhine wines come in ?,0
Who was the lead actress in the movie ` Sleepless in Seattle ' ?,0
Who was the 16th President of the United States ?,0
Who are the two sons of Ozzie and Harriet Nelson ?,0
What is molybdenum ?,0
When is Boxing Day ?,0
What is the lowest level of the American judiciary ?,0
When was the battle of the Somme fought ?,0
How many people did Randy Craft kill ?,0
What 's the official animal of Canada ?,0
When did Spielberg direct `` Jaws '' ?,0
What is the size of the largest akita ?,0
What animal has the biggest eyes ?,0
What is California 's capital ?,0
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,0
Who was the founding member of the Pink Floyd band ?,0
What European country is home to the beer-producing city of Budweis ?,0
How do I find the balance of my social security account ?,0
What is the history of Valentine 's Day cards ?,0
Where was Christopher Columbus born ?,0
What do Italians call Florence ?,0
How do you get to the top of the Eiffel Tower ?,0
What does ` PSI ' stand for ?,0
What sea did the Romans call mare nostrum ?,0
What 's the term for a bet before cards are dealt ?,0
"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",0
What city did the Flintstones live in ?,0
What is Latin for incompetent ?,0
What chemicals are used in lethal injection ?,0
What toy company is the world 's No.1 maker of female apparel ?,0
What board game does a `` wood-pusher '' play poorly ?,0
Which Doonesbury character was likely to turn into a werewolf ?,0
What is the abbreviation for micro ?,0
What are the 7 articles of the constitution ?,0
Who has won the most Super Bowls ?,0
What does NASDAQ stand for ?,0
What is BPH ?,0
What is the fastest commercial automobile that can be bought in the US ?,0
What stadium do the Miami Dolphins play their home games in ?,0
Who has the only speaking role in `` Silent Movie '' ?,0
Why is poop sometimes different colors ?,0
What was Einstein 's IQ ?,0
What day was Pearl Harbor attacked in 1942 ?,0
What girl 's name is `` Teddy '' an affectionate form of ?,0
What state is John F. Kennedy buried in ?,0
What is the best way to remove wallpaper ?,0
What U.S. state has an element named for it ?,0
What company tabulates the ballots in voting for the Academy Awards ?,0
How did the tradition of best man start ?,0
How many years ago did the ship Titanic sink ?,0
What is the deepest area of the Arctic Ocean ?,0
What are Halloween 's colors ?,0
How is silk screening done ?,0
"What is the latitude and longitude of El Paso , Texas ?",0
Who made a boat out of gopher wood ?,0
Where can I find a `` Fifth Element '' screensaver ?,0
Which Bloom County resident wreaks havoc with a computer ?,0
How do you match a name to a social security number ?,0
How does a rainbow form ?,0
What is the normal resting heart rate of a healthy adult ?,0
What is the population of Ohio ?,0
How many calories are there in a Big Mac ?,0
Hazmat stands for what ?,0
What creature scares people in the film `` Jaws '' ?,0
What part did John Peter Zenger play in the deveopment of the newspaper in America ?,0
Who followed Caesar ?,0
What are the four elements ?,0
Who was the first woman golfer to earn a million ?,0
What 's the tallest piece on a chessboard ?,0
What is Answers.com 's address ?,0
Where can I buy movies on videotape online ?,0
Who does the advertizing for Frito-Lay ?,0
Who is the leading competitor of Trans Union Company ?,0
What product did Robert Conrad dare people to knock off his shoulder ?,0
Who invented the radio ?,0
What 's the American dollar equivalent for 8 pounds in the U.K. ?,0
What are the different approaches of systems analysis ?,0
How do doctors diagnose bone cancer ?,0
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,0
What is the speed of the Mississippi River ?,0
What are the developmental stages of a swimmer ?,0
What actor first portrayed James Bond ?,0
What ocean is the largest in the world ?,0
"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",0
What year did Jack Nicklaus join the Professional Golfers Association tour ?,0
How many sonnets did Shakespeare write ?,0
What causes the redness in your cheeks when you blush ?,0
Who won the Nobel Peace Prize in 1991 ?,0
Who are the Challengers of the Unknown ?,0
Define the Pheonix Club ?,0
Which city did Christian Crusaders fight to recapture from the Muslims ?,0
What does it mean `` Rupee Depreciates '' ?,0
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,0
Who was the first coach of the Cleveland Browns ?,0
How successful is arometherapy ?,0
What Jewish holiday saw the start of the 1973 Mideast War ?,0
How does a copier work ?,0
What is the speed of the Mississippi River ?,0
Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,0
What is Dudley Do-Right 's horse 's name ?,0
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,0
Where does chocolate come from ?,0
What TV game show once saw a contestant admit to picking his toes in the shower ?,0
What Soviet leader owned a Rolls-Royce ?,0
Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,0
What war did Florence Nightingale tend the troops in ?,0
"Who wrote the song , `` Stardust '' ?",0
How many Beatles ' records went #1 ?,0
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,0
What is the abbreviation of the company name ` General Motors ' ?,0
What mountains lie between the Arkansas and Missouri rivers ?,0
Who received the Will Rogers Award in 1989 ?,0
What is the function of RAM ?,0
What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,0
How many equal angles are there in an isosceles triangle ?,0
What is the fear of cockroaches called ?,0
What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,0
What is the use of a 24-hour clock instead of a 12-hour clock ?,0
What was the name of the lawyer who represented Randy Craft ?,0
What United States President had dreamed that he was assassinated ?,0
What film did Lee Marvin win the 1965 best actor Oscar for ?,0
Where is Basque country located ?,0
What product does `` Mrs. Olsen '' promote ?,0
What time of day did Emperor Hirohito die ?,0
What is dry ice ?,0
What 's the most powerful card in Euchre ?,0
What does `` intractable plantar keratoma '' mean ?,0
How many years did it take James Joyce to write Ulysses ?,0
What crop failure caused the Irish Famine ?,0
What South Korean city is served by Kimpo International Airport ?,0
How many types of dogs ' tails are there - three,0
What is the longest-running television series ?,0
What predators exist on Antarctica ?,0
What is the difference between a generator and an alternator ?,0
How is energy created ?,0
What beer advertised that it had `` three rings '' ?,0
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,0
What golfing accessory was patented by George Grant on December 12,0
What are the different types of plastic ?,0
How is it correct to say ` qigong ' ?,0
What was the highest mountain on earth before Mount Everest was discovered ?,0
"Where was the Ligurian Republic , 1797-185 , ?",0
What country 's people are the top television watchers ?,0
When was the women 's suffrage amendment ratified ?,0
What Polynesian people inhabit New Zealand ?,0
What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,0
What Nevada center has been dubbed The Biggest Little City in the World ?,0
"What President lived at 219 North Delaware Street , Independence , Missouri ?",0
Give a reason for American Indians oftentimes dropping out of school .,0
Where must a soccer goalie stand to be permitted to handle the ball ?,0
What is the difference between classical conditioning and operant conditioning ?,0
In what U.S. state was the first woman governor elected ?,0
What are some interesting facts and information about dogsledding ?,0
What year did Hitler die ?,0
What famous model was married to Billy Joel ?,0
What kind of animal is Babar ?,0
What is Jane Goodall known for ?,0
What killed Bob Marley ?,0
How much money are Dumbo 's ears insured for ?,0
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,0
Who is Stein Eriksen ?,0
What does the name Billie mean ?,0
Who is the fastest swimmer in the world ?,0
What is the highest peak in Africa ?,0
Where is Procter & Gamble headquartered in the U.S. ?,0
What desert has been called The Garden of Allah ?,0
What do bicornate animals have two of ?,0
What function does a community 's water tower serve ?,0
What is a fear of weakness ?,0
How many miles is it to Ohio from North Carolina ?,0
How much snow equals an inch of rain ?,0
What does G.M.T. stand for ?,0
What does Inuit and Eskimo mean ?,0
What song served as the closing theme of The Johnny Cash Show ?,0
What field sport did dentist William Beers promote and write a standard book of rules for ?,0
How do I tie dye clothes ?,0
When does the average teenager first have intercourse ?,0
Why doesn 't www.answers.com have any answers to my questions ?,0
What actor 's autobiography is titled All My Yesterdays ?,0
What Russian master spy lived in the U.S. under the name Emil Goldfus ?,0
Where 's the 19th hole on a golf course ?,0
What 's nature 's purpose for tornadoes ?,0
Who played the original Charlie 's Angels ?,0
Where can I find a person 's address from a telephone number ?,0
"What English word comes from the Old French covrefeu , meaning cover fire ?",0
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,0
Where did Sarge Steel get his metal hand ?,0
What makes popcorn pop ?,0
Who wrote The Night of the Iguana ?,0
Where does your hair grow the fastest ?,0
What country did King Gustav V reign over from 197 to 195 ?,0
Who painted Mother and Child ?,0
What is the speed of the Mississippi River ?,0
In what area of the world was the Six Day War fought ?,0
What is the brightest star visible from Earth ?,0
What film marked Robert Redford 's directorial debut ?,0
What was Mao 's second name ?,0
What film or films has Jude Law appeared in ?,0
Where do hyenas live ?,0
Who is the `` Queen Mother '' ?,0
What 's the most commonly-spoken language in Belgium ?,0
Who has more DNA - a man or a woman ?,0
What are Maid-Rites ?,0
"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",0
What level of government or governmental agency is responsible for dealing with racism ?,0
How many referees work a soccer game ?,0
What cocktail do you concoct with whisky and sweet vermouth ?,0
How do you say `` fresh '' in Spanish ?,0
What do bee hives do in cranberry bogs ?,0
What caused the Lynmouth floods ?,0
When is the Tulip Festival in Michigan ?,0
"Who came up with the name , El Nino ?",0
What movie did Madilyn Kahn star in with Gene Wilder ?,0
What type of bridge is the Golden Gate Bridge ?,0
What dictator has the nickname `` El Maximo '' ?,0
What stereo manufacturer is `` Slightly ahead of its time '' ?,0
What U.S. city is The Queen of the Pacific ?,0
What TV sitcom character had the maiden name Ethel Potter ?,0
What was the first Lifesaver flavor ?,0
Who kept the most famous diary in the English language ?,0
Where can I find out the top 1 singles ?,0
How many degrees cooler is the inside of a cucumber than the air outside ?,0
What Spanish artist painted Crucifixion ?,0
What is the Jewish bible called ?,0
Why is the grass green ?,0
What is a firewall ?,0
What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,0
Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,0
How long does it take for Spider-Man 's web to evaporate ?,0
Who was Randy Steven Craft 's lawyer ?,0
What was known as the Spice Island ?,0
Who was the first host of Person to Person ?,0
Name the Ranger who was always after Yogi Bear .,0
"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",0
What does the Statue of Liberty wear on her feet ?,0
Who is the superstar in rent-a-cars ?,0
McCarren Airport is located in what city ?,0
"What household facility contains a float ball , ballcock , and overflow tube ?",0
What was the name of Betty Boop 's dog ?,0
What fraction of a beaver 's life is spent swimming ?,0
What was the Bridge of San Luis Rey made of ?,0
What do economists do ?,0
What country has the largest sheep population ?,0
"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",0
What country is the world 's largest importer of cognac ?,0
How many years is Johnnie Walker Black Label aged ?,0
What does SIDS stand for ?,0
What is Grenada 's main commodity export ?,0
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",0
What makes a clitoris sensitive ?,0
"What country has the most time zones , with 11 ?",0
What `` magic '' does Mandrake employ ?,0
Who is the president of Stanford University ?,0
Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,0
"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",0
What city is Logan Airport in ?,0
What is a nanometer ?,0
How many innings are there in a regulation softball game ?,0
When did CNN go on the air ?,0
What is the largest city on the Great Lakes ?,0
What is the telephone number for the University of Kentucky ?,0
Who invented baseball ?,0
How many wives did Brigham Young have ?,0
What product on the market is good for hiding facial scars ?,0
How long is the Coney Island boardwalk ?,0
What city gained renown for its pea-soup fogs ?,0
What does `` Janelle '' mean ?,0
How do I get another city 's newspaper ?,0
Name a movie about the Sioux Indians starring Kevin Costner .,0
"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",0
What are the distinct physical characterstics of the Arabian horse ?,0
What is a fear of thunder ?,0
What animal has killed the most people ?,0
How many colleges are in Wyoming ?,0
What Russian seaport has a name meaning `` Lord of the East '' ?,0
Where can stocks be traded on-line ?,0
When was the Battle of Hastings ?,0
What kind of file has the extension .dbf ?,0
When did Muhammad live ?,0
"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",0
What is a wop ?,0
Where do rocks come from ?,0
How do I stop background noise in a car stereo ?,0
Where do people mountain climb in Nepal ?,0
What is the best college in the country ?,0
What is viscosity ?,0
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,0
What are the Nordic nations ?,0
Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?,0
What U.S. state borders Illinois to the north ?,0
Name a film in which Jude Law acted .,0
What is the temperature for baking Peachy Oat Muffins ?,0
What is a fear of bees ?,0
What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,0
What is a green bog ?,0
Where did the myth of Santa Claus originate ?,0
What does a chairbound basophobic fear ?,0
What city is served by Logan International Airport ?,0
What wrestling star became `` The Incredible Hulk '' ?,0
What attracts tourists to Reims ?,0
What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,0
What fastener did Whitcomb Judson patent in 1893 ?,0
What 's an auberge in France ?,0
Who was the star of the 1965 Broadway hit Golden Boy ?,0
Where is Procter & Gamble based in the U.S. ?,0
What army was founded by William Booth and his wife Catherine ?,0
What does ribavirin consist of ?,0
Name the soft drink that is `` number one in the sun . '',0
What is the web address of the list of e-mail addresses of members of the House of Representatives ?,0
What was her real name ?,0
Why are the ears your center of balance ?,0
Who invented the toothbrush ?,0
What was the name of that popular song the Creeps sang ?,0
Where is the Abominable Snowman said to wander ?,0
What is a fear of being alone ?,0
How many dots make up the symbol for `` because '' ?,0
What do you get by adding Lactobacillus bulgaricus to milk ?,0
"When reading classified ads , what does EENTY : other stand for ?",0
How many hearts does an octopus have ?,0
What plant has the largest seed ?,0
What was the only country you were allowed to drive into Israel from in 1979 ?,0
What 's approaching when a cyclist shouts : `` Oil '' ?,0
"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",0
What kind of sport is often associated with hooligans ?,0
What video game hero do some of his fans call Chomper ?,0
How many holes are there in a tenpin bowling ball ?,0
What is the longest word in the English language ?,0
In What city or state do the most gay men live in ?,0
"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",0
What is `` the bear of beers '' ?,0
Name the operating system that runs on IBM-compatible machines .,0
What does the name `` Justin '' mean ?,0
What percentage of the body is muscle ?,0
What color of dry wine should be served with veal roasts and chops ?,0
What is a golf ball made of ?,0
What is the Amish religion ?,0
What does an average daycare provider get paid in New England ?,0
What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,0
Who played the Ringo Kid in the 1939 film Stagecoach ?,0
Who died 1 feet from where John F. Kennedy did ?,0
What is the `` coppertop '' battery ?,0
What sign is The Water Carrier the zodiacal symbol for ?,0
What animals do you find in the stock market ?,0
What is color ?,0
When is the site www.questions.com going to open ?,0
What did Shostakovich write for Rostropovich ?,0
What first name was Nipsy Russell given at birth ?,0
How can I get some free technical information on Electric Vehicle ?,0
Who is the youngest of the Beatles ?,0
How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,0
What is a Jellicle Cat ?,0
Where can I find the best free evidence for debate about Russia ?,0
What is Bill Gates of Microsoft E-mail address ?,0
What is the second hardest substance ?,0
Why did several San Diego schools stop serving apples to students ?,0
What Russian city boasts the Hermitage Museum ?,0
When is Bastille Day ?,0
What makes a tornado turn ?,0
How many shots can a stock M16 hold ?,0
What two colors are you blind to if you suffer from protanopia ?,0
Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?,0
Who is Coronado ?,0
What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?,0
What is artificial intelligence ?,0
What do flatfish eat ?,0
Who was the first Holy Roman Emperor ?,0
What can I use to remove the stubborn gummed labels from some diskettes ?,0
What day of the week sees the most fatal car accidents ?,0
"What is the origin of the word , magic ?",0
What sport do you shag flies in ?,0
What is white chocolate ?,0
Where is Trinidad ?,0
Name the organization that is presided by a Security Council .,0
"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?",0
What kind of wine is Spumante ?,0
Who portrayed portly criminologist Carl Hyatt on Checkmate ?,0
How do you say I love you in Spanish ?,0
What does the name Gina mean ?,0
What is the most advanced handheld calculator in the world ?,0
How fast is light ?,0
What is the belt of low pressure around the equator called ?,0
What are shooting stars ?,0
Whom did the Chicago Bulls beat in the 1993 championship ?,0
When was the first American encyclopedia published ?,0
What 's the tallest building in New York City ?,0
How is Easter Sunday 's date determined ?,0
What is the Motto for the State of Maryland ?,0
Who is Desmond Tutu ?,0
Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?,0
Name a tiger that is extinct .,0
How many quarters equal a pound ?,0
What kind of books does Fodor 's publish ?,0
"What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?",0
What chapter of the Bible has the most verses ?,0
Who is the worst US President ever ?,0
What Asian leader was known as The Little Brown Saint ?,0
What is the abbreviated expression for the National Bureau of Investigation ?,0
How fast does the fastest car go ?,0
